-7,79930028290825 -6,56080735472538 -14,7544605201684
20,1504574209759 3,17522196576255 -5,54652569484494
-0,640667546202783 -9,32257124644191 10,1502778947306
-11,6985996283997 -3,43962295281595 -27,1444389687256
2,23390657692722 -5,87061297613276 14,1280025003545
-4,40437871310551 -11,332371999069 3,25170774767054
0,576964852511099 -5,48171588751835 6,47490181469154
4,10254536380389 -19,1697173764891 -2,85151174878561
8,12788544973655 13,9767820422736 7,68351632188928
-8,52869647481497 -2,39096547102604 4,00797317441621
5,27263345604919 1,55280420938918 19,5100170624081
-0,00383555049899156 0,0109105670272303 27,166497538293
1,86542175559598 5,24532479941434 -6,56428218047473
0,0552820423450467 19,2302783013707 -12,7985679022157
-4,37989514771308 -7,85370321452361 -6,13592448398942
6,21317098438154 0,612691017350809 19,8094425978142
-15,9785166493157 0,857846073040487 -0,489067278102831
14,4382958928461 -5,59151559426518 23,2426635054959
-3,03968110423461 -2,06142347918541 -0,0135997214008002
12,1817189120906 -2,83993614996939 -1,62118968998418
-3,85650057873294 2,08777000751646 -10,103634206163
-3,24341161694793 -8,87451096801949 -11,1862415248174
10,0772381652759 -14,0052229463238 10,8333803673679
-2,60818498721639 -1,17470205635672 9,84536451337635
1,38648948869258 16,0299827663546 -2,73124502894181
-0,353352017538935 -3,54352926128188 0,0915506665200569
4,00526123740285 -9,91420235304545 -23,5411065290701
-12,1058415781396 6,75329092260952 -6,05913967899619
-8,55265018407683 -8,26621081519589 -3,34554473704194
1,22143188303366 3,17332148472825 11,4463291670156
4,23416595699219 11,0492856544959 25,8652687736664
0,103813977853118 3,14633129256725 -4,81914110532306
0,163298266277268 0,00448242676807475 5,57817847589884
-19,8310732732297 -12,8014289651174 -0,323462088735862
0,55339990132301 -1,63989315547013 -5,66295644907171
9,51638273636844 12,5340785642203 7,78106412844042
-14,8907367093428 3,12027241608586 -6,68638364607096
0,166023978935719 -9,40667944790228 -20,4111963836722
-17,3597160358766 -21,088314124498 8,03321205871153
1,07158996276636 8,06502087500134 12,8354923348304
-9,70756758338987 -7,10051863304305 -13,7104562908981
-2,85663248905269 10,5549346619341 17,3716525599838
-7,71872745024524 -18,4495009229336 2,77225113103086
5,1174224933574 0,455503176914194 1,57905316753451
-19,7322675732057 -8,51026912316336 9,80153543434643
-0,965283800118931 -0,365456611098507 6,2478784242519
-20,783728814104 -8,62790321816371 18,9529596791579
-9,48057500636913 -25,3937401271259 3,75327154154958
0,324823669459421 7,36165557581034 5,97425581506178
-4,41871744779641 2,45000854592147 -7,97622531762684
5,31499850815801 17,7710453864983 8,43798229076691
-0,186158653277496 5,03697518301358 -7,94932886968549
5,68324918268217 -1,93351783318284 -12,362533579987
-9,74119040284076 -10,3763129886916 -6,88343145141389
6,9531973576176 1,04637379846762 0
2,75167547883588 1,04317696995702 16,6709612067968
0,033756093597432 0,186144542700691 -18,1449138202794
4,00753410734091 -3,17766507631846 -2,46099861616667
-0,58397499927822 -1,88644938848279 -11,7241518411743
9,00572802873928 -7,06187048996758 -5,42041967612333
16,3829727852929 2,83900648796159 13,3705525434689
-3,62501242315315 -6,69281771449698 -4,92257290104481
5,84291449461345 -2,32147094233272 7,45628782817837
0,0809138521029424 0,219376335613661 -14,2338796050799
6,97280806026159 2,50464010442335 3,20942366316216
4,72371299448113 15,3174795841148 7,09638983892479
-0,817322648557288 -6,31420384663372 -4,18250948590811
4,202459087161 -0,969395215134219 -9,47370335072895
-4,14263315770262 -2,37046324080101 -4,10920407800757
-1,3720787927896 -5,17812474992165 -3,6328433300551
-10,2771288653713 -0,689548808536957 -1,28110924015012
3,2858230116835 -5,13078803944235 -3,9183335375905
0,289553556890226 1,87788395689962 -4,13312807250286
2,62857252023485 -11,6445324050122 -10,6942326239187
-6,25730465471029 0,544394401214319 7,35660275647444
4,67264537508675 1,79740336766047 -0,0535850417859653
-3,51474221812562 -0,00779254231805632 -13,8773220279134
1,95830109176773 0,417841560428632 -4,08502321125105
-5,73746207331618 5,59408772413493 13,3350484716757
-0,587848073923262 3,12626737202574 -10,6361943311784
-1,40399738603117 0,274450008923271 4,75376055929615
-4,83200132713472 3,20613163236076 6,61987095546009
